run,tam_matriz,num_particulas,max_passos,passo_medicao,tipo_execucao,tempo_total,coef_difusao
3, 100, 1e+02, 1e+05, 1000, vet, 123.700238, 0.003044
3, 100, 1e+03, 1e+03, 100, vet, 3.061903, 0.147990
3, 100, 1e+03, 1e+04, 100, vet, 15.604174, 0.027674
3, 100, 1e+03, 1e+04, 1000, vet, 16.233930, 0.028095
3, 100, 1e+03, 1e+05, 100, vet, 139.112093, 0.002556
3, 100, 1e+03, 1e+05, 1000, vet, 138.979684, 0.002898
3, 100, 1e+04, 1e+03, 100, vet, 20.572624, 0.150576
3, 100, 1e+04, 1e+04, 100, vet, 47.900659, 0.028234
3, 100, 1e+04, 1e+04, 1000, vet, 47.408586, 0.027958
3, 100, 1e+04, 1e+05, 100, vet, 317.762236, 0.002804
3, 100, 1e+04, 1e+05, 1000, vet, 322.331263, 0.002787
3, 100, 1e+05, 1e+03, 100, vet, 198.927161, 0.150058
3, 100, 1e+05, 1e+04, 100, vet, 403.796456, 0.027841
3, 100, 1e+05, 1e+04, 1000, vet, 401.188224, 0.027934
3, 1000, 1e+02, 1e+03, 100, vet, 1.400733, 0.235187
3, 1000, 1e+02, 1e+04, 100, vet, 12.060642, 0.231277
3, 1000, 1e+02, 1e+04, 1000, vet, 12.198676, 0.204401
3, 1000, 1e+02, 1e+05, 100, vet, 119.873358, 0.156933
3, 1000, 1e+02, 1e+05, 1000, vet, 120.526709, 0.136185
3, 1000, 1e+03, 1e+03, 100, vet, 3.113005, 0.231088
3, 1000, 1e+03, 1e+04, 100, vet, 15.406848, 0.221127
3, 1000, 1e+03, 1e+04, 1000, vet, 15.574615, 0.217989
3, 1000, 1e+03, 1e+05, 100, vet, 139.511838, 0.145901
3, 1000, 1e+03, 1e+05, 1000, vet, 139.764464, 0.152155
3, 1000, 1e+04, 1e+03, 100, vet, 20.358154, 0.240876
3, 1000, 1e+04, 1e+04, 100, vet, 47.528119, 0.219816
3, 1000, 1e+04, 1e+04, 1000, vet, 47.435466, 0.220630
3, 1000, 1e+04, 1e+05, 100, vet, 321.024459, 0.148209
3, 1000, 1e+04, 1e+05, 1000, vet, 321.238299, 0.150110
3, 1000, 1e+05, 1e+03, 100, vet, 202.218945, 0.240273
3, 1000, 1e+05, 1e+04, 100, vet, 411.300061, 0.219796
3, 1000, 1e+05, 1e+04, 1000, vet, 409.646187, 0.219864
